,Presidente,DATA,"Legislatura/
Presidente da CD",Ementa,Interessado,Situação,Data do Despacho,Publicação,Recurso,Categoria
26,Dilma,4/17/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia contra a Senhora Presidente da República Dilma Rousseff, por crimes de responsabilidade, pelas considerações de fato e de direito que expõe - oposição direta e abusiva ao livre exercício do Poder Judiciário, especialmente do Supremo Tribunal Federal.",Maxwell Pereira do Carmo,Arquivado,4/24/2015,"Arquivado
24/04/2015  
 *         
Publicado no DCD nº 64 - 25/04/2015 - p. 51",Não houve apresentação,Decoro presidencial
27,Dilma,4/22/2015,"55ª
Eduardo Cunha - PMDB/RJ","Trata-se de denúncia em desfavor da Presidente da República, DILMA VANA ROUSSEF, por ato de improbidade administrativa que na qualidade de Presidente do Conselho da Petrobras nomeou para Diretoria que dilapidaram o patrimônio da empresa, no qual se mostrou omissa recaindo sobre a mesma presente denúncia.",Rafael Francisco Carvalho,Arquivado,10/1/2015,"Arquivado

01/10/2015

*
Publicado DCD  nº 168 - Suplemento - 02/10/15 - p. 4",Não houve apresentação,Decoro presidencial
28,Dilma,5/26/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia / Impeachement contra a Presidnete da República, Dilma Vana Rousseff, e requer:                                                                                                                                                                                 1 - o recebimento e processamento da presente denúncia;                                                                        2 - sejam admitidas a denúncia e as acusações, por seus fatos, fundamentos e provas transcritas;                                                                                                                                                                         3 - por consequência, sejam tomadas as providências legais para a bertura do processo de Impeachement.",Walter Marcelo dos Santos,Arquivado,8/6/2015,"Arquivado

05/08/2015

*
Publicado no DCD nº 129 - 
07/08/2015 - p. 236",Não houve apresentação,Crime de responsabilidade
29,Dilma,5/27/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia contra a Senhora Presidente da República, Dilma Rousseff, que entre os anos de 2013 e 2015, a representada deixou de de tornar efetiva a responsabilidade de seus subordinados, quando manifesta em delitos funcionais ou na prática de atos contrários à Constituição do Ministro de Minas e Energia, do Presidente da Petrobrás, do Ministro da Fazenda , do Presidente do Banco Central, do Ministro de Estado de Desenvolvimento, Indústria e Comércio Exterior e do o Presidente do BNDES. Em anexo 14 exemplares.",Adolfo Sachsida e outros                                      Movimento Brasil Livre-MBL   ,Arquivado,12/2/2015,"02/12/2015

Arquivado

*

Publicado no Suplemento A ao DCD nº 209 - 03/12/15, p. 3",Não houve apresentação,Decoro presidencial
30,Dilma,7/21/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia contra a Senhora Presidente da República, Dilma Rousseff, que entre os anos de 2013 e 2015, a representada deixou de de tornar efetiva a responsabilidade de seus subordinados, quando manifesta em delitos funcionais ou na prática de atos contrários à Constituição do Ministro de Minas e Energia, do Presidente da Petrobrás, do Ministro da Fazenda , do Presidente do Banco Central, do Ministro de Estado de Desenvolvimento, Indústria e Comércio Exterior e do o Presidente do BNDES. Em anexo 14 exemplares.","Bruno Antônio Martins de Guimarães, Adolfo Sachsida e outros          Movimento Cívico Brasileiros Conscientes",Arquivado,8/21/2015," Arquivado

 21/08/2015

*
Publicado no Suplemento A ao DCD n. 209, de 03/12/15 - p. 14
",Não houve apresentação,Decoro presidencial
31,Dilma,7/28/2015,"55ª
Eduardo Cunha - PMDB/RJ","Representa em desvafor da Presidente da República, Dilma Vana Rousseff, tendo em vista que seja admitida a denúncia e as acusações para autorizar a instauração do processo. A denunciada ao subordinar a Nação, a República Federativa do Brasil, à entidade denominada Foro de São Paulo e aos governos estrangeiros, violou a um só tempo: o Estado Democrático de direito. A Presidenta da República e candidata a reeleição cometeu crime de responsabilidade por atentar contra a Constituição Federal, contra a existência a União, contra o exercício dos direitos políticos, individuais sociais, contra a segurança interna do País, contra a probidade na administração e contra o cumprimento das leis. Em função do vínculo do Partido dos Trabalhadores ao Foro de São Paulo, consequentemente o PT deve ter registro cancelado. ",Cesar Augusto Cavazzola Junior,Arquivado,10/6/2015,"Arquivado

06/10/2015


*

Publicado no DCD - nº 171 - Suplemento  07/10/15 - p. 3",Não houve apresentação,Decoro presidencial
32,Dilma,8/6/2015,"55ª
Eduardo Cunha - PMDB/RJ","Denúncia por crime de responsabilidade em face da Presidente de República, Dilma Rousseff, por ações relacionadas à gestão da Petrobras e Eletrobras, entre outros fatos.",Ulysses Lacerda Moraes,Arquivado,10/1/2015,"01/10/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 168 - 02/10/15 - p. 125",Não houve apresentação,Decoro presidencial
33,Dilma,8/12/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia em face da Presidente da República, Dilma Rousseff, por irregularidades na execução da Lei de Diretrizes Orçamentárias, nas operações realizadas com recursos públicos federais, violando a Constituição, a Lei Orçamentária Anual e a Lei de Responsabilidade Fiscal.",Luis Carlos Crema,Arquivado,12/2/2015,"Arquivado
02/12/2015

*

Publicado no Suplemento A ao DCD nº 209 - 03/12/15 - p. 3137
(Tomo IV/V)",Não houve apresentação,Decoro presidencial
34,Dilma,8/17/2015,"55ª
Eduardo Cunha - PMDB/RJ","Faz acusações contra a Presidente de República, Dilma Rousseff, por vários motivos, dentre eles:
- contratação irregular dos médicos cubanos (pagamento ao governo cubano, revalidação de diplomas no Brasil,...);
- dificultar a liberação de verbas orçamentárias para os deputado que se rebelassem e votassem contra ou dificultassem as ações da Presidência da República;
- A defesa que a Presidenta fez publicamente aos seus pares do PT durante a investigação da ""Lava Jato"", explicam a conivência da mesma com os desmandos;
- esconder dos eleitores os problemas da crise que o Brasil já enfrentava e aguardar os resultados da Justiça Eleitoral para elevar os preços de energia elétrica, combustíveis e outros.",Paulo Rogério Caciji,Arquivado,9/29/2015,"29/09/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 166 - 30/9/15 - p. 49",Não houve apresentação,Crime eleitoral
35,Dilma,9/1/2015,"55ª
Eduardo Cunha - PMDB/RJ","Apresentam denúncia em face da Presidente Dilma Rousseff, haja vista a prática de crime de responsabilidade. Enumera causas que caracterizam tal crime: fraudes na reeleição para Presidente da República, violações à Lei de Responsabilidade Fiscal (""pedaladas fiscais""), que ensejaram Representação Criminal à PGR pelo Jurista Miguel Reale Júnior, Operação Lava-Jato (Ação Penal n. 470) em que Youssef afirmou que Dilma e Lula sabiam do esquema de propinas na Petrobrás. Encaminha notícias jornalísticas, pareceres, representação e acórdãos.",Hélio Pereira Bicudo e Janaina Conceição Paschoal,Arquivado,12/2/2015,"02/12/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 209 - 03/12/15 - p. 4 ",Não houve apresentação,Crime eleitoral
36,Dilma,9/11/2015,"55ª
Eduardo Cunha - PMDB/RJ","Denúncia (pedido de impeachment) em face da Presidente da República Dilma Rousseff por ações/omissões relacionadas à gestão da Petrobras, ao abuso de poder político e econômico na campanha eleitoral, à manobras fiscais (pedaladas).",Eder Xavier,Arquivado,10/13/2015,"13/10/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 175 - 14/10/15 - p. 403",Não houve apresentação,Crime de responsabilidade
37,Dilma,9/30/2015,"55ª
Eduardo Cunha - PMDB/RJ","Requer que seja recepcionado o presente oferecimento de denúncia de Pedido de Impeachment com arrimo nos artigos 51, I e 86 da CF de 1988, na Lei 1079, de 10/4/50, e na Lei 8429, de 2/6/92.",João Carlos Augusto Melo Moreira,Arquivado,10/13/2015,"13/10/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 175 - 14/10/15 - p. 496","Apresentado em 06/11/2015.

Decisão:  ""somente deputados no exercício do mandato têm legitimidade para interpor recurso, nos termos dos arts. 100, § 1º, 218, § 3º, e 226, I, do RICD."" ",Crime de responsabilidade
38,Dilma,10/8/2015,"55ª
Eduardo Cunha - PMDB/RJ","Denuncia a Presidente Dilma Roussef por crimes de responsabilidade previstos na Constituição e na Lei de Responsabilidade Fiscal. Cita delitos eleitorais, ""pedaladas fiscais"".",Sérgio Augusto Pereira de Borja,Arquivado,11/16/2015,"16/11/2015
Arquivado

*
Publicado no Suplemento ao DCD nº 197 - 17/11/15 - p. 3",Não houve apresentação,Crime de responsabilidade
39,Dilma,10/14/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia em face da Presidente da República, Dilma Rousseff, por crime de responsabilidade (reeleição com verba oriunda da operação lava-jato) ",João Pedro Boria Caiado de Castro,Arquivado,11/16/2015,"16/11/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 197 - 17/11/15 - p. 52",Não houve apresentação,Crime eleitoral
40,Dilma,10/15/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia em face da Presidente da República, Dilma Rousseff, pela robustez dos fatos, das provas e dos fundamentos jurídicos, todos de notório conhecimento público e apreciados pelo Tribunal de Contas da União, consoante o processo TC 005.335/2015-9 e apensos.",Luis Carlos Crema,Arquivado,12/2/2015,"02/12/2015
Arquivado

*
Publicado no Suplemento A ao DCD nº 209 - 3/12/15 - p. 5170",Não houve apresentação,Crime de responsabilidade
41,Dilma,10/20/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia em face da Presidente Dilma Roussef, por crime de responsabilidade, condescendência criminosa e abuso de poder, aliados à omissão (arts. 51 e 86 da CF c/c Lei 1.079/50 e art. 320 do CP)",João Carlos Augusto Melo Moreira,Arquivado,11/16/2015,"16/11/2015

Arquivado

*

Publicado no Suplemento ao DCD  nº 197 - 17/11/15 - p. 68",Não houve apresentação,Decoro presidencial
42,Dilma,10/21/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia  em face da Presidente da República, Dilma Rousseff, por crime de responsabilidade. Requer que seja decretada a perda do cargo, bem como a inabilitação para exercer função pública pelo prazo de 8 anos.","Hélio Pereira Bicudo, Miguel Reale Júnior, Janaina Conceição Paschoal e Flávio Henrique Costa Pereira","Recebida a denúncia. Determina a leitura na sessão seguinte à publicação da decisão. Há justa causa e indícios de autoria, considerando a responsabilidade da Presidente da República pela Lei Orçamentária. Publicado no Suplemento. Nº 210- 01/12/2015",12/2/2015,"02/12/2015

Recebida a denúncia. Determina a leitura na sessão seguinte á publicação da decisão.  Há justa causa e indícios de autoria, considerando a responsabilidade da Presidente da República pela Lei Orçamentária.
Publicado no Suplemento. Nº 210-04/12/15",,Crime de responsabilidade
43,Dilma,10/22/2015,"55ª
Eduardo Cunha - PMDB/RJ","Formaliza denúncia de ""IMPEACHMENT"" contra a atual Presidenta da República, a Exma. Sra. Dilma Roussef, pela prática de crimes de responsabilidade, conforme dispõem os arts. 51, I e 85, V, da CRBF/88, c/c art. 2º, 4º, 7º, 8º, 9º, 10º e 11º, da Lei n. 1079/50, pelas considerações de fato e de direito que expõe.",Pedro Geraldo Cancian Logomarcino Gomes,Arquivado,11/16/2015,"16/11/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 197 - 17/11/15 - p. 90","
Recurso interposto pelo denunciante em 21/12/2015.
 
Decisão em 04/05/2106:
""somente deputados no exercício do mandato têm legitimidade para interpor recurso, nos termos dos arts. 100, § 1º, 218, § 3º, e 226, I, do RICD."" ",Crime de responsabilidade
44,Dilma,10/22/2015,"55ª
Eduardo Cunha - PMDB/RJ","Solicita que seja recebida e processe o pedido de ""IMPEACHMENT"" contra a atual Presidente da República, a Exma. Sra. Dilma Roussef, e que sejam intimados as testemunhas do ex presidente Luiz Inácio Lula da Silva, do Almirante Othon Pinheiro da Silva, do Almirante Júlio Soares Moura Neto, do Ministro João Augusto Ribeiro Nardes, do Procurador Júlio Marcelo de Oliveira; e que sejam determinadas todas as providências legais.",João Carlos Augusto Melo Moreira,Arquivado,11/19/2015,"19/11/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 200- 20/11/15 - p. 3",Não houve apresentação,Crime de responsabilidade
45,Dilma,10/27/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia de pedido de impeachment em desfavor da Presidente Dilma Roussef pela prática de crime de responsabilidade,capitulado nos artigos 85, incisos V, VI, VII da CF, na Lei 1079/1950. Assunto: ""pedaladas fiscais"".",João Carlos Augusto Melo Moreira,Arquivado,11/19/2015,"19/11/2015

Arquivado

*

Publicado no Suplemento ao DCD  nº 200- 20/11/15 - p. 82",Não houve apresentação,Crime de responsabilidade
46,Dilma,11/3/2015,"54ª 
Henrique Eduardo Alves/PMDB/RN","Oferece NOVO pedido de impeachment em desfavor da Presidente Dilma Rousseff por contrair empréstimos junto à Caixa Econômica Federal, FGTS e BNDES em 2014, bem como junto ao Banco do Brasil e BNDES em 2015.",João Carlos Augusto Melo Moreira,Arquivado,11/19/2015,"19/11/2015

Arquivado

*

Publicado no Suplemento ao DCD nº 200- 20/11/15 - p. 143",Não houve apresentação,Crime de responsabilidade
47,Dilma,11/5/2015,"55ª
Eduardo Cunha - PMDB/RJ","Oferece denúncia criminal em desfavor da Presidente Dilma Rousseff pelo cometimento dos crimes de responsabilidade elencados, tais como: 
- em ação coordenada com o ex-Presidente, Luís Inácio Lula da Silva, dirigida à obstrução do movimento de protesto convocado espontaneamente por diversas associações e instituições do terceiro setor para o dia 16/08/2015, empregando ameaças quanto ao possível uso da violência para impedir o livre exercício das liberdades individuais...
- Durante ato político ideológico da Marcha das Margarida, houve emprego de recursos públicos para o atendimento de interesses desviantes, sejam partidários e políticos de seu grupo, torna patente a incidência das condutas comissivas da Representada.
- Pela prática das chamadas ""pedaladas fiscais"", que através do Banco do Brasil e da Caixa Econômica Federal, no que toca ao atraso dos repasses para bancos públicos do dinheiro de benefícios sociais e previdenciários, o que obrigou tias entidades a usarem recursos próprios para honrar os compromissos, numa espécie de ""empréstimo"" ao governo. 
",Deputado Fernando Francischini -SD/PR,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 3
(Tomo I/III)",Não houve apresentação,Atos antidemocráticos
48,Dilma,11/6/2015,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia em desfavor da Presidente Dilma Rousseff, haja vista a prática de crime de responsabilidade. Enumera causas que caracterizam tal crime: irresponsabilidade com a economia, indicações indevidas para cargos de confiança, violações ao livre exercício dos poderes constituídos, afrontas à Lei Orçamentária e à Responsabilidade Fiscal.",Luciano Benedito David,Arquivado,9/30/2016,"Arquivado em 30/09/2016
Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 219 
(Tomo I/III)",Não houve apresentação,Crime de responsabilidade
49,Dilma,12/9/2015,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia por crime de responsabilidade em face da Presidente da República, Dilma Vana Rousseff, para que cumprido o devido processo legal, mediante participação popular, por intermédio de seus representantes eleitos, pelas razões de fato e de direito apontadas, seja decretada a perda de seu cargo, bem como a inabilitação para exercer função pública, pelo prazo de 8 anos.",Carla Zambelli Salgado,Arquivado,4/4/2016,"Arquivada em 04/04/2016

Publicado no Suplemento ao DCD n. 45, de 05/04/16 - p. 3","Não houve apresentação

",Crime de responsabilidade
50,Dilma,12/18/2015,"55ª
Eduardo Cunha - PMDB/RJ","Interpõe REPRESENTAÇÃO CRIMINAL, denuncia por CRIME COMUM, em desfavor da Presidenta Dilma Rousseff, solicitando a admissibilidade da presente petição acusatória pelo PCD, e o consequente envio dos autos ao STF para que a presente peça seja recebida por aquela corte de justiça, após a aprovação pelo plenário da CD. Cita, entre outras fatores, os desvios de condutas imputados à Presidenta a respeito das ""pedaladas fiscais"".
*Crime Comum",Renacleyton da Silva e Silva,Arquivado,2/4/2016,"04/02/2016

Arquivado

*

Publicado no Suplemento ao DCD nº 7- 05/02/16 - p. 3","Não houve apresentação

",Crime de responsabilidade
51,Dilma,12/21/2015,"55ª
Eduardo Cunha - PMDB/RJ","De ordem do Ministro Ricardo Lewandowski, Presidente do STF, encaminha correspondência do Sr. Adriano Rodrigues de Oliveira (preso na Penitenciária Masculina de Mairinque.
Assunto: Denúncia contra a Presidente Dilmar Roussef acerca ""pedaladas fiscais"". ",Adriano Rodrigues Oliveira,Arquivado,2/4/2016,"04/02/2016

Arquivado

*

Publicado no Suplemento ao DCD nº 7- 05/02/16 - p. 14","Não houve apresentação

",Crime de responsabilidade
52,Dilma,2/25/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia contra a Presidente da República por crime de responsabilidade, para o fim de ser decretada a perda de seu cargo e sua inabilitação temporal para o exercício da função pública, sem prejuízo do precedimento penal competente. Na cabeça do denunciante foi implantado um chip que possibilita controlar e manipular a sua consciência.",Alexandre Ferraz de Moraes,Arquivado,3/7/2016,"07/03/2016
Arquivado

*
Publicado no Suplemento ao DCD nº 27 - 08/03/16 - p. 3","Não houve apresentação

",Crime de responsabilidade
53,Dilma,3/7/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia em face da Presidente da República, Dilma Rousseff, haja vista a prática de supostos crimes de responsabilidade, requerendo seja decretada a perda de seu cargo, bem como a inabilitação para exercer função pública, pelo prazo de oito anos. Cita a edição da Revista IstoÉ, de 03/03/2016, na qual foi revelado o teor do suposto acordo de delação premiada do Sen. Delcídio do Amaral, em que consta que a Presidente Dilma Rousseff tentou por três ocasiões interferir na operação Lava Jato, com a ajuda do ex-ministro da Justiça, José Eduardo Cardozo.",Paulo Roberto Pegoraro Junior,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 260
(Tomo I/III)",Não houve apresentação,Corrupção
54,Dilma,3/8/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia em face da Presidente da República, Dilma Rousseff, haja vista a prática de crimes comuns e de responsabilidade, por declarações feitas em entrevista dada nos Estados Unidos que configuraram constrangimento ilegal e tortura.",Sonia Regina Castro,Arquivado,4/4/2016,"Arquivada em 04/04/2016

Publicado no Suplemento ao DCD n. 45, de 05/04/16 - p. 53","Apresentou Recurso em 18/04/2016.

Decisão em 04/05/2016: 
""somente deputados no exercício do mandato têm legitimidade para interpor recurso, nos termos dos arts. 100, § 1º, 218, § 3º, e 226, I, do RICD."" ",Decoro presidencial
55,Dilma,3/9/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia em face da Presidente da República, Dilma Rousseff, por ter nomeado o Dr. Wellington César Lima e Silva para o cargo de Ministro da Justiça, sabendo do impedimento do nomeado em exercer tal cargo, uma vez que é membro do Ministério Pública da Bahia. Alega que a denunciada incorreu em descumprimento de preceito legal disposto no art. 128, da CF.",Deputado Federal Betinho Gomes - PSDB/PE                                                               (Heberte Lamarck Gome da Silva) ,Arquivado,4/4/2016,"Arquivada em 04/04/2016

Publicado no Suplemento ao DCD n. 45, de 05/04/16 - p. 66",Não houve apresentação,Decoro presidencial
56,Dilma,3/17/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia contra a Presidente Dilma Van Rousseff, por crime de responsabilidade. Cita delação voluntária do Senador Delcídio do Amaral Gomes.                                                           1) Fundamento das provas: delação premiada do Senador Delcídio do Amaral e testemunhas; 2) imputação: art. 6º, itens 5, 6 e 9, da Lei n. 1.079/1950 - interferência no livre funcionamento do Poder Judiciário; 3) Fatos: a) Encontro com o Presidente do Supremo Tribunal Federal, Ministro Ricardo Lewandowski, na cidade do Porto, Porugal; b) promessa de nomeação do ex-Presidente do Tribunal de Justiça do estado de Santa Catarina - TJSC Desembargador Nelson Schaefer ao cargo de  Ministro do Supremo Tribunal de Justiça - STJ; c) promessa de nomeação (ao final efetivada) do Ex-Presidente do Tribunal Regional Federal da 5ª Região - TRF5 Juiz Marcelo Navarro ao cargo de Ministro do STJ; d) Manifestação de aopio institucional ao ex-presidente Luis Inácio Lula da Silva, conduzido coercitivamente, e convite para que ocupasse cargo de Ministro de Estado.",Alexandre de Vasconcelos,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 -
p. 290
(Tomo I/III)",Não houve apresentação,Crime de responsabilidade
57,Dilma,3/17/2016,"55ª
Eduardo Cunha - PMDB/RJ","Denúncia por crime de responsabilidade em desfavor da Presidente da República Dilma Rousseff em relação aos fatos em torno da nomeação do Ex-Presidente Luis Inácio Lula da Silva para o cargo de Ministro Chefe da Casa Civil, visando à conquista de foro privilegiado. Aditamento.  Denúncias por crimes de responsabilidade em desfavor da Presidente da República Dilma Rousseff, para que cumpridas as formalidades legais, inicie-se o processo para a perda do cargo que ocupa. Fato novo: sustação da posse do Sr. Luis Inácio Lula da Silva como MInistro Chefe da Casa Civil                   Resumo: Tentativa de obstrução da atividade jurisdicional por meio da nomeação de ex-Presidente Lula para o cargo de Ministro de Estado.",Deputado Federal Jair Messias Bolsonaro PSC/RJ,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 300
(Tomo I/III)",Não houve apresentação,Decoro presidencial
58,Dilma,3/17/2016,"55ª
Eduardo Cunha - PMDB/RJ","Denúncia por infração Político-Administrativa, com pedido de impeachment",Gabriel Souza Marques de Azevedo,Arquivado,4/4/2016,"Arquivada em 04/04/2016

Publicado no Suplemento ao DCD n. 45, de 05/04/16 - p. 72",Não houve apresentação,Crime de responsabilidade
